SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
潮州,屏東縣,97,細懸浮微粒,普通,5.8,0.37,0.4,66,68,58,27,8.5,9.2,0.7,2.9,182,2019-11-01 15:00,34,65,3,120.561175,22.523108,60
屏東,屏東縣,84,細懸浮微粒,普通,1.5,0.32,0.4,76,63,53,24,7.9,9.1,1.2,2.6,274,2019-11-01 15:00,29,64,2,120.488033,22.673081,59
小港,高雄市,90,細懸浮微粒,普通,2.8,0.3,0.5,57,49,53,30,18,21,3.1,3.6,270,2019-11-01 15:00,31,63,3,120.337736,22.565833,58
前鎮,高雄市,80,細懸浮微粒,普通,2.6,0.4,0.6,64,50,58,25,15,18,2.6,1.7,357,2019-11-01 15:00,27,65,3,120.307564,22.605386,57
前金,高雄市,75,細懸浮微粒,普通,1.9,0.32,0.4,61,42,44,21,3.2,5.4,2.1,2.8,311,2019-11-01 15:00,25,58,2,120.288086,22.632567,56
左營,高雄市,91,細懸浮微粒,普通,3,0.29,0.4,77,58,62,27,8,8.8,0.8,3.4,294,2019-11-01 15:00,32,68,3,120.292917,22.674861,54
楠梓,高雄市,74,細懸浮微粒,普通,1.6,0.31,0.4,62,51,49,20,8,9.2,1.2,3,265,2019-11-01 15:00,25,57,2,120.328289,22.733667,53
林園,高雄市,100,臭氧八小時,普通,3,0.24,0.3,77,70,57,26,6.8,6.9,0.1,2.7,263,2019-11-01 15:00,32,68,3,120.41175,22.4795,52
大寮,高雄市,93,細懸浮微粒,普通,3.7,0.28,0.4,61,58,54,23,14,15,1.8,2.7,299,2019-11-01 15:00,33,62,5,120.425081,22.565747,51
鳳山,高雄市,76,細懸浮微粒,普通,1.5,0.44,0.5,60,56,41,20,10,11,1.2,2.5,288,2019-11-01 15:00,26,57,3,120.358083,22.627392,50
